Numéro;Nom;Type1;Type2;PV;Force;Défense;Vitesse;Spécial;Total
1;Bulbizarre;plante;poison;45;49;49;45;65;253
2;Herbizarre;plante;poison;60;62;63;60;80;325
3;Florizarre;plante;poison;80;82;83;80;100;425
4;Salamèche;feu;;39;52;43;65;50;249
5;Reptincel;feu;;58;64;58;80;65;325
6;Dracaufeu;feu;vol;78;84;78;100;85;425
7;Carapuce;eau;;44;48;65;43;50;250
8;Carabaffe;eau;;59;63;80;58;65;325
9;Tortank;eau;;79;83;100;78;85;425
10;Chenipan;insecte;;45;30;35;45;20;175
11;Chrysacier;insecte;;50;20;55;30;25;180
12;Papilusion;insecte;vol;60;45;50;70;80;305
13;Aspicot;insecte;poison;40;35;30;50;20;175
14;Coconfort;insecte;poison;45;25;50;35;25;180
15;Dardargnan;insecte;poison;65;80;40;75;45;305
16;Roucool;normal;vol;40;45;40;56;35;216
17;Roucoups;normal;vol;63;60;55;71;50;299
18;Roucarnage;normal;vol;83;80;75;91;70;399
19;Rattata;normal;;30;56;35;72;25;218
20;Rattatac;normal;;55;81;60;97;50;343
21;Piafabec;normal;vol;40;60;30;70;31;231
22;Rapasdepic;normal;vol;65;90;65;100;61;381
23;Abo;poison;;35;60;44;55;40;234
24;Arbok;poison;;60;85;69;80;65;359
25;Pikachu;electrik;;35;55;30;90;50;260
26;Raichu;electrik;;60;90;55;100;90;395
27;Sabelette;sol;;50;75;85;40;30;280
28;Sablaireau;sol;;75;100;110;65;55;405
29;Nidoran♀;poison;;55;47;52;41;40;235
30;Nidorina;poison;;70;62;67;56;55;310
31;Nidoqueen;poison;sol;90;82;87;76;75;410
32;Nidoran♂;poison;;46;57;40;50;40;233
33;Nidorino;poison;;61;72;57;65;55;310
34;Nidoking;poison;sol;81;92;77;85;75;410
35;Mélofée;normal;;70;45;48;35;60;258
36;Mélodelfe;normal;;95;70;73;60;85;383
37;Goupix;feu;;38;41;40;65;65;249
38;Feunard;feu;;73;76;75;100;100;424
39;Rondoudou;normal;;115;45;20;20;25;225
40;Grodoudou;normal;;140;70;45;45;50;350
41;Nosferapti;poison;vol;40;45;35;55;40;215
42;Nosferalto;poison;vol;75;80;70;90;75;390
43;Mystherbe;plante;poison;45;50;55;30;75;255
44;Ortide;plante;poison;60;65;70;40;85;320
45;Rafflesia;plante;poison;75;80;85;50;100;390
46;Paras;insecte;plante;35;70;55;25;55;240
47;Parasect;insecte;plante;60;95;80;30;80;345
48;Mimitoss;insecte;poison;60;55;50;45;40;250
49;Aéromite;insecte;poison;70;65;60;90;90;375
50;Taupiqueur;sol;;10;55;25;95;45;230
51;Triopikeur;sol;;35;80;50;120;70;375
52;Miaouss;normal;;40;45;35;90;40;250
53;Persian;normal;;65;70;60;115;65;375
54;Psykokwak;eau;;50;52;48;55;50;255
